1	E1	E2	E3	E5	E6	E7	E8	E9	E10
2	4	2	5	5	1	4	3	5	1
3	2	2	3	3	3	1	5	1	5
4	5	1	1	5	1	1	5	5	1
5	2	5	2	3	4	3	4	4	5
6	3	1	3	3	1	3	1	3	5
7	1	5	2	1	3	2	4	1	5
8	5	1	5	5	1	5	4	4	1
9	4	3	5	5	1	4	3	4	3
10	3	1	5	5	1	5	2	5	3
11	1	4	2	2	4	1	4	1	5
12	1	5	2	1	4	1	4	1	5
13	3	3	5	3	3	2	4	3	3
14	3	3	4	4	2	2	3	4	3
15	1	3	2	1	1	1	5	1	5
16	3	3	3	3	2	2	4	3	5
17	2	3	2	3	1	1	3	4	4
18	1	3	2	2	4	1	4	3	4
19	4	1	5	5	1	5	3	5	1
20	2	3	4	1	4	1	4	1	5
21	2	2	3	3	3	1	3	3	3
22	1	4	2	3	4	2	4	3	3
23	2	3	4	4	1	3	4	2	3
24	2	3	1	2	4	1	3	3	4
25	3	3	4	4	3	3	3	4	3
26	3	4	4	2	3	3	3	4	5
27	1	3	2	2	3	3	2	2	5
28	5	5	4	5	1	5	1	5	2
29	3	3	4	2	2	3	4	2	4
30	2	4	3	2	2	4	5	1	5
31	3	3	3	2	2	4	2	3	4
32	4	2	1	4	1	3	3	1	5
33	2	3	3	3	2	4	5	2	4
34	4	2	4	4	2	4	2	4	2
35	5	2	4	5	1	5	1	5	3
36	1	4	3	3	3	1	5	1	5
37	1	2	3	3	1	1	4	2	3
38	1	5	2	2	2	2	3	4	5
39	2	3	3	4	1	1	3	1	3
40	2	4	2	2	3	3	4	2	5
41	1	2	2	2	2	1	4	2	5
42	5	1	1	5	1	5	1	5	1
43	4	2	3	3	2	5	3	5	5
44	2	3	2	2	2	2	4	3	5
45	3	1	5	5	1	5	1	5	1
46	1	3	4	3	3	3	5	1	5
47	4	2	4	5	2	5	2	5	3
48	1	5	2	2	3	1	4	2	5
49	2	3	5	5	2	3	2	5	1
50	1	5	1	1	5	1	5	1	5
51	1	2	3	4	1	1	3	4	4
52	1	4	2	1	2	1	4	2	5
53	2	3	2	2	1	1	3	5	5
54	2	2	2	4	1	2	2	2	4
55	2	1	4	4	1	1	4	2	3
56	4	1	3	2	1	4	4	4	4
57	2	4	2	2	4	2	4	2	4
58	2	1	4	2	4	5	5	2	5
59	2	2	2	2	1	1	2	4	4
60	1	4	2	1	2	1	5	1	5
61	4	1	5	5	1	1	1	4	1
62	4	1	4	5	2	5	2	4	2
63	5	5	5	5	5	5	2	5	1
64	3	3	3	2	3	3	4	4	4
65	4	3	4	4	2	4	2	4	2
66	2	3	4	2	2	2	4	2	4
67	2	4	5	4	4	4	2	2	3
68	3	5	4	3	4	2	5	4	5
69	4	4	4	3	2	4	4	5	3
70	2	2	5	4	3	2	5	1	2
71	3	1	5	5	1	3	3	3	2
72	4	1	4	4	1	2	2	5	4
73	1	2	2	4	1	1	2	2	5
74	5	2	2	2	2	5	5	3	5
75	1	4	2	3	5	3	5	2	5
76	3	2	4	5	2	4	4	2	2
77	1	5	2	1	5	1	4	2	5
78	3	4	4	4	1	1	5	1	5
79	1	5	2	2	2	1	5	1	4
80	3	2	1	5	2	1	5	2	5
81	2	3	4	4	1	4	4	4	4
82	3	1	3	5	1	1	2	3	5
83	3	4	3	3	5	2	5	3	4
84	3	3	3	3	3	3	4	3	3
85	4	2	5	5	1	4	1	5	1
86	4	1	5	5	1	5	1	5	2
87	3	2	4	4	2	4	2	4	2
88	2	2	2	2	2	5	3	3	5
89	3	2	2	4	3	4	4	4	4
90	3	3	5	5	1	2	3	3	2
91	1	5	1	1	4	1	5	3	5
92	2	3	3	3	2	2	3	2	5
93	4	2	3	4	1	2	3	3	3
94	1	1	5	5	1	1	5	1	3
95	5	3	5	3	1	5	2	4	4
96	2	3	3	4	2	3	2	4	4
97	1	4	2	2	3	1	3	2	5
98	4	4	2	2	4	2	5	1	4
99	4	1	5	5	1	5	5	3	5
100	3	1	5	4	1	4	2	4	2
101	3	3	4	5	2	5	4	3	4
102	1	3	2	1	1	1	4	3	4
103	1	4	5	5	3	3	5	1	4
104	1	3	2	3	2	1	4	2	4
105	1	5	1	2	5	1	5	1	5
106	2	2	3	3	1	2	2	2	5
107	2	4	2	3	2	2	4	4	4
108	3	2	3	3	3	2	2	2	3
109	2	1	2	3	2	2	5	2	4
110	1	3	3	3	5	1	5	1	5
111	5	1	5	5	1	5	1	5	1
112	4	4	1	2	4	1	5	4	5
113	1	4	2	4	4	4	5	1	5
114	5	2	5	5	1	5	1	5	2
115	3	1	4	5	1	3	1	5	2
116	2	3	3	3	3	2	4	2	4
117	2	2	2	4	2	1	2	4	5
118	4	1	4	4	1	4	1	5	1
119	1	4	2	2	4	1	5	2	4
120	3	2	3	4	3	2	4	2	4
121	1	4	4	4	2	3	2	4	2
122	4	2	5	4	1	4	1	4	2
123	5	1	5	5	1	3	4	5	1
124	2	4	3	3	4	2	3	2	3
125	2	3	3	2	3	2	5	1	5
126	4	2	5	3	3	4	2	5	4
127	3	2	3	4	2	4	2	4	3
128	5	3	5	3	2	3	5	1	1
129	2	1	1	4	1	1	3	4	5
130	4	1	5	5	1	4	3	3	2
131	5	1	5	5	1	5	4	4	1
132	2	2	2	3	2	3	4	1	3
133	5	1	4	5	2	5	4	4	2
134	3	5	2	2	1	1	5	2	5
135	1	2	4	4	2	3	5	3	3
136	5	2	5	5	1	3	1	5	1
137	2	2	2	2	2	2	2	4	4
138	3	1	4	4	1	2	3	1	5
139	5	1	5	5	1	5	1	5	1
140	1	2	3	3	1	1	4	4	3
141	1	2	2	2	1	1	5	2	5
142	3	1	4	3	1	2	4	3	5
143	4	2	5	4	1	5	3	3	2
144	3	2	5	5	2	4	3	4	2
